Ship Movement Update,Gear System Update,Lerper Update,ParticleSystem Update,Instructions Draw,Gear System Draw,ParticleSystem Draw,Ship Draw
6.98561e-006,2.46551e-006,1.93132e-005,0.000240798,4.10918e-007,0.000280246,0.000886762,4.23246e-005
1.5204e-005,2.46551e-006,2.17787e-005,0.000234634,0,0.000301203,0.0014226,4.80774e-005
6.98561e-006,2.46551e-006,2.13678e-005,0.000226005,0,0.000307367,0.00094881,4.93102e-005
1.06839e-005,2.87643e-006,2.58878e-005,0.000219841,0,0.000301614,0.000994011,4.80774e-005
6.98561e-006,2.46551e-006,1.76695e-005,0.000238744,0,0.000278603,0.000885529,4.76665e-005
7.80745e-006,2.87643e-006,2.17787e-005,0.000219019,0,0.000301203,0.000919635,4.60228e-005
6.98561e-006,2.46551e-006,2.17787e-005,0.00022806,0,0.000275315,0.00086827,4.39683e-005
6.57469e-006,2.46551e-006,2.05459e-005,0.000219019,0,0.000280657,0.000902787,4.43792e-005
2.87643e-006,1.23275e-006,1.43821e-005,0.000175462,0,0.000318462,0.000933195,4.68447e-005
7.39653e-006,2.46551e-006,2.09568e-005,0.000231758,0,0.000281479,0.000866627,4.23246e-005
7.39653e-006,2.87643e-006,2.79424e-005,0.00023258,4.10918e-007,0.00030408,0.000938126,4.76665e-005
7.39653e-006,2.87643e-006,2.5066e-005,0.000221896,0,0.000284355,0.000336542,4.68447e-005
6.98561e-006,2.46551e-006,2.26005e-005,5.13648e-005,0,0.000299559,0.000353801,4.64338e-005
0.000168887,4.10918e-007,4.93102e-006,2.38333e-005,4.10918e-007,0.000283945,0.000329967,4.68447e-005
7.39653e-006,2.05459e-006,1.93132e-005,7.47871e-005,0,0.000300792,0.00031764,4.5201e-005
8.21837e-006,2.46551e-006,2.0135e-005,7.27325e-005,4.10918e-007,0.000288876,0.000325858,4.31464e-005
6.98561e-006,2.05459e-006,1.93132e-005,7.23216e-005,0,0.000297505,0.000361197,4.27355e-005
6.57469e-006,2.46551e-006,1.97241e-005,7.27325e-005,0,0.000281068,0.000298738,4.31464e-005
0.000161491,4.10918e-007,4.5201e-006,1.68476e-005,0,0.00029545,0.000315996,4.39683e-005
6.57469e-006,2.05459e-006,1.93132e-005,7.31434e-005,0,0.000297094,0.00031764,4.60228e-005
6.57469e-006,2.46551e-006,1.93132e-005,7.27325e-005,0,0.000272028,0.000343528,4.15027e-005
6.57469e-006,2.46551e-006,1.84913e-005,7.31434e-005,0,0.000298738,0.000353801,4.27355e-005
3.28735e-006,1.23275e-006,1.06839e-005,2.95861e-005,0,0.000325858,0.000307367,4.35573e-005
1.35603e-005,2.05459e-006,2.05459e-005,7.35544e-005,0,0.00029545,0.000315585,4.19137e-005
1.39712e-005,2.05459e-006,2.05459e-005,7.39653e-005,0,0.000291341,0.000315174,4.56119e-005
6.57469e-006,2.05459e-006,2.05459e-005,7.31434e-005,0,0.000274082,0.000355033,4.60228e-005
6.98561e-006,4.10918e-007,6.57469e-006,1.93132e-005,0,0.000296683,0.000315585,4.5201e-005
6.57469e-006,2.05459e-006,1.84913e-005,7.35544e-005,0,0.00028189,0.000336131,4.76665e-005
7.39653e-006,2.46551e-006,2.09568e-005,7.5198e-005,0,0.000299559,0.000317229,4.64338e-005
9.86204e-006,2.46551e-006,1.97241e-005,7.31434e-005,0,0.000274082,0.00031312,4.31464e-005
6.98561e-006,2.46551e-006,1.93132e-005,7.35544e-005,0,0.000279424,0.000350102,4.31464e-005
3.28735e-006,8.21837e-007,1.10948e-005,2.91752e-005,0,0.000333255,0.00031764,4.56119e-005
6.57469e-006,2.05459e-006,1.97241e-005,7.31434e-005,0,0.000270384,0.000288054,4.06809e-005
6.98561e-006,2.05459e-006,1.80804e-005,7.39653e-005,0,0.00029545,0.000315996,4.5201e-005
7.80745e-006,2.46551e-006,2.13678e-005,7.60199e-005,0,0.000281479,0.00034476,4.47901e-005
6.57469e-006,2.05459e-006,1.93132e-005,7.35544e-005,0,0.000279014,0.000297505,4.31464e-005
2.05459e-006,8.21837e-007,5.34194e-006,1.84913e-005,0,0.000305723,0.00034435,4.68447e-005
6.98561e-006,2.46551e-006,1.97241e-005,7.47871e-005,0,0.000279835,0.000318051,4.27355e-005
